Club Name,Category
Actuarial Club - UW Madison,Academic/Career
Advertising Club,Academic/Career
Alpha Chapter of Alpha Chi Sigma,Academic/Career
Alpha Epsilon Delta (PreHealth Honor Society) Wisconsin Beta Chapter,Academic/Career
Alpha Kappa Psi (Alpha Mu Chapter),Academic/Career
American Institute of Aeronautics and Astronautics UW Madison Chapter,Academic/Career
American Marketing Association (UW-Madison Collegiate Chapter),Academic/Career
American Medical Student Association - UW-Madison Premedical Chapter,Academic/Career
American Medical Women's Association Premedical Branch UW Madison,Academic/Career
American Society for Biochemistry and Molecular Biology UW-Madison Student Chapter,Academic/Career
American Society of Agricultural & Biological Engineers UW-Madison,Academic/Career
American Society of Mechanical Engineers - UW Madison Chapter,Academic/Career
Artificial Intelligence Club UW-Madison,Academic/Career
Aspiring Nurses Association,Academic/Career
Aspiring Physician Assistant Association,Academic/Career
Association for Women in Communications UW-Madison Chapter,Academic/Career
Association of Women in Sports Media-Wisconsin Chapter,Academic/Career
Astronomy Club,Academic/Career
Badger Amateur Radio Society,Academic/Career
Badger Blockchain,Academic/Career
Badger Consulting,Academic/Career
Badger Fly,Academic/Career
Hmong American Student Association,Academic/Career
Badger Tank UW-Madison,Academic/Career
Badgerloop,Academic/Career
Bioethics @ UW-Madison,Academic/Career
Biomedical Engineering Society UW-Madison Chapter,Academic/Career
Bucky Pre-Health Volunteering Association,Academic/Career
Chinese Psychelogos,Academic/Career
Collegiate DECA UW Madison Chapter,Academic/Career
ColorStack at UW-Madison,Academic/Career
Data Science Club,Academic/Career
Data Science For Sustainable Development - UW-Madison,Academic/Career
Delta Sigma Pi Psi Chapter,Academic/Career
Economics Student Association,Academic/Career
Education Currigers,Academic/Career
Effective Altruism UW-Madison,Academic/Career
Engineering Business and Entrepreneurship,Academic/Career
Environmental Engineering Club,Academic/Career
Geography Club,Academic/Career
Girls Who Code - UW Madison,Academic/Career
Global Economic Forum - Madison,Academic/Career
Good Futures,Academic/Career
Google Developer Student Club,Academic/Career
Greater University Tutoring Service,Academic/Career
Health Occupations Students of America - UW Madison,Academic/Career
Health Professions Society,Academic/Career
Honors Student Organization,Academic/Career
Information Systems Society,Academic/Career
Cybersecurity UW,Academic/Career
Insight Wisconsin,Academic/Career
Institute of Electrical and Electronic Engineers UW-Madison Stu- dent Chapter,Academic/Career
Institute of Industrial and Systems Engineers University of Wiscon- sin-Madison Chapter,Academic/Career
Institute of Management Accountants UW-Madison,Academic/Career
Journal Club (UW-Madison),Academic/Career
Madison Business Mentoring,Academic/Career
Math Club,Academic/Career
Peer Learning Association - UW Madison,Academic/Career
Phi Alpha Delta Pre-Law Chapter,Academic/Career
Phi Alpha Theta at UW-Madison,Academic/Career
Pre-Dental Education and Community Service,Academic/Career
Pre-Genetic Counseling Organization of UW-Madison,Academic/Career
Pre-Law Society at UW - Madison,Academic/Career
Pre-Pharmacy Club,Academic/Career
Pre-Student Osteopathic Medical Association,Academic/Career
Pre-Veterinary Association,Academic/Career
Progressive Asia Association,Academic/Career
Psychology Club,Academic/Career
Public Relations Student Society of America (PRSSA) UW-Madison,Academic/Career
Badgers with a Heart,Academic/Career
SAE Baja Team UW-Madison,Academic/Career
Science Communication Club - UW Madison,Academic/Career
Society for Human Resource Management,Academic/Career
Sports Medicine and Athletic Healthcare Club,Academic/Career
Student Nurses' Association,Academic/Career
Student Retail Association,Academic/Career
Thomistic Institute at the University of Wisconsin-Madison,Academic/Career
Undergraduate Genetics Association,Academic/Career
Undergraduate GeoClub,Academic/Career
Undergraduate Neuroscience Society,Academic/Career
Undergraduate Statistics Club of UW-Madison,Academic/Career
Unexplored Medical Professions Society,Academic/Career
Web Development Club,Academic/Career
Wisconsin Autonomous,Academic/Career
Wisconsin Consulting Club,Academic/Career
Wisconsin Model United Nations,Academic/Career
Wisconsin NAMA,Academic/Career
Wisconsin Pre-Medical Society UW Madison,Academic/Career
Wisconsin Robotics,Academic/Career
WiscWind,Academic/Career
Women in Business,Academic/Career
Women in Business Technology,Academic/Career
Women in Economics,Academic/Career
Fantasy Sports and Finance Club,Academic/Career
Women in Scientific Education and Research,Academic/Career
Women in STEM,Academic/Career
Women's Network: UW-Madison The,Academic/Career
Yuan-Shan Study Society,Academic/Career
Advocates for Alzheimer's,Activism/Advocacy
Advocates for Immigrants' Rights,Activism/Advocacy
Advocates for Rare Diseases,Activism/Advocacy
American Civil Liberties Union Student Alliance at UW - Madison,Activism/Advocacy
Amnesty International at UW-Madison,Activism/Advocacy
Badger Diabetes Advocates,Activism/Advocacy
Body Advocacy Movement,Activism/Advocacy
Dane4Dogs UW-Madison Chapter,Activism/Advocacy
DREAMers of UW-Madison,Activism/Advocacy
Effective Animal Advocacy,Activism/Advocacy
EmBark UW,Activism/Advocacy
Free/Libre and Open Source Software Club,Activism/Advocacy
Badger Pop Tab Initiative,Activism/Advocacy
J Street U at Wisconsin,Activism/Advocacy
Marxist Student Association,Activism/Advocacy
Mecha de UW Madison,Activism/Advocacy
National Alliance on Mental Illness University of Wisconsin-Madison,Activism/Advocacy
National Organization for NOW - UW Madison Campus Chapter,Activism/Advocacy
Planned Parenthood Generation Action at UW-Madison,Activism/Advocacy
Pride Society The,Activism/Advocacy
Re-wear It Wisconsin,Activism/Advocacy
Rise Wisconsin (UWâ€“Madison),Activism/Advocacy
She's the First UW-Madison,Activism/Advocacy
Students for Justice in Palestine- At UW-Madison,Activism/Advocacy
WUD Distinguished Lecture Series,Activism/Advocacy
WUD Society & Politics,Activism/Advocacy
American Cetacean Society Student Coalition-UW Madison,Agricultural/Environmental
American Meteorological Society UW-Madison Chapter,Agricultural/Environmental
Association of Women in Agriculture,Agricultural/Environmental
Audubon Society UW-Madison,Agricultural/Environmental
Badger Dairy Club,Agricultural/Environmental
Bees Please - UW,Agricultural/Environmental
Engineers for a Sustainable World UW-Madison Chapter,Agricultural/Environmental
Helios,Agricultural/Environmental
Poultry Club,Agricultural/Environmental
Student Chapter of The Wildlife Society UW-Madison,Agricultural/Environmental
Succulent Club of UW-Madison,Agricultural/Environmental
Wisconsin Society for Conservation Biology Student Chapter,Agricultural/Environmental
AIGA Wisconsin UW-Madison,Arts/Music
Art Club UW-Madison,Arts/Music
Art History Society,Arts/Music
Artisan Collective The,Arts/Music
Asian Musical Instruments Community,Arts/Music
Badger Stand Up Comedy,Arts/Music
Barbershop Quartet Club,Arts/Music
Bellydancing UW,Arts/Music
Chazen Museum of Art Student Ambassadors,Arts/Music
Costume Play and Design Guild,Arts/Music
Disney Club,Arts/Music
Elevation Dance Team,Arts/Music
Fiction Writers Association,Arts/Music
Film Review Club,Arts/Music
FoundLand Musical,Arts/Music
Jewop A Cappella,Arts/Music
Knit For a Cause,Arts/Music
Madison Undergraduate Society for English,Arts/Music
MadTappers The,Arts/Music
Music Therapy Association- UW Madison,Arts/Music
Photography Club,Arts/Music
Pitches and Notes- Treble A Cappella,Arts/Music
Recreational Reading And Discussion,Arts/Music
Saying Theatre,Arts/Music
Tangled Up In Blue Acappella,Arts/Music
That's All There Is,Arts/Music
Understudies Improv Company The,Arts/Music
Wisconsin Competitive Cheer Club,Arts/Music
VIVID Dance,Arts/Music
Wisconsin Premiere Dance Team,Arts/Music
Wisconsin Union Directorate Art Committee,Arts/Music
WUD Film Committee,Arts/Music
WUD Music,Arts/Music
National Student Speech Language Hearing Association UW- Madison Chapter,Arts/Music
Bell Magazine,Media/Publication
Chinese Entertainment Agency: Blueline TV,Media/Publication
Content Creator Club,Media/Publication
Daily Cardinal The,Media/Publication
Hollywood Badgers,Media/Publication
Journal of Undergraduate Science and Technology,Media/Publication
Madison Misnomer The,Media/Publication
Moda Magazine,Media/Publication
Wisconsin Engineer Magazine,Media/Publication
WUD Publications Committee,Media/Publication
Aa Dekhen Zara Entertainment,Cultural/Ethnic
Asian American Student Union,Cultural/Ethnic
Brazilian Student Association UW-Madison,Cultural/Ethnic
Bridges International Madison,Cultural/Ethnic
Chinese American Student Association,Cultural/Ethnic
Filipinx-American Student Organization,Cultural/Ethnic
First Generation Student Success,Cultural/Ethnic
Hillel,Cultural/Ethnic
Hong Kong Student Association,Cultural/Ethnic
Korean-American Student Association,Cultural/Ethnic
Malaysian Student Association,Cultural/Ethnic
MannMukti UW-Madison,Cultural/Ethnic
Multicultural Business Student Association The,Cultural/Ethnic
Multiracial Student Union,Cultural/Ethnic
Pacific Islander Student Association,Cultural/Ethnic
Pakistani Students Association,Cultural/Ethnic
Persian Student Society at the University of Wisconsin-Madison,Cultural/Ethnic
Polish Student Association,Cultural/Ethnic
Queer Trans People of Color UW-Madison,Cultural/Ethnic
Society of Hispanic Professional Engineers UW-Madison Student Chapter,Cultural/Ethnic
South East Asian Dance Organization,Cultural/Ethnic
Spanish Club at UW-Madison,Cultural/Ethnic
Badger Battalion U.S. Army ROTC,Cultural/Ethnic
Thai Student Association,Cultural/Ethnic
Vietnamese Student Association,Cultural/Ethnic
Wisconsin RangDe,Cultural/Ethnic
Wisconsin Surma Fusion Dance Team,Cultural/Ethnic
WUD Cuisine Committee,Cultural/Ethnic
WUD Global Connections,Cultural/Ethnic
Association of Graduate Engaged Scholars The,Graduate/Professional
Black Student Law Association,Graduate/Professional
Federalist Society UW-Madison Law School Chapter,Graduate/Professional
Mentorship Opportunities in Science & Agriculture for Individuals of Color,Graduate/Professional
Plant Sciences Graduate Student Council,Graduate/Professional
Real Estate Club,Graduate/Professional
Sigma Alpha - Alpha Tau Chapter,Graduate/Professional
Society of Women Engineers,Graduate/Professional
Wisconsin Women Pre-Med Association,Graduate/Professional
Anatomy Club UW-Madison,Health/Wellness
Badger Support Network,Health/Wellness
Badger Yogis,Health/Wellness
Cardiac On Campus,Health/Wellness
Chronic Health Allies Mentorship Program,Health/Wellness
Dietetics and Nutrition Club - University of Wisconsin-Madison,Health/Wellness
Feel Good Foodies,Health/Wellness
Fitness Through Dance UW,Health/Wellness
Girl Gains at UW-Madison,Health/Wellness
Medical Advocacy Venture Outreach Cornerstone,Health/Wellness
Mind. Body. Badger.,Health/Wellness
Pre-Dental Society,Health/Wellness
Pre-Physical Therapy Club,Health/Wellness
Sex Out Loud,Health/Wellness
Spark,Health/Wellness
Tergar Meditation Practice Group- UW Madison,Health/Wellness
Wisconsin Wellness,Health/Wellness
YesUW,Health/Wellness
Alexander Hamilton Society UW-Madison Chapter,Political Interest
Forum,Political Interest
Millennial Action Project UW-Madison Chapter,Political Interest
Turning Point USA at University of Wisconsin-Madison,Political Interest
Young Democratic Socialists of America - UW-Madison,Political Interest
Badger Business Intervarsity,Religious/Spiritual
Badger Cru,Religious/Spiritual
Baha'i Campus Association,Religious/Spiritual
Calvary Lutheran Student Fellowship,Religious/Spiritual
Chabad Jewish Student Association,Religious/Spiritual
Chi Alpha Christian Fellowship UW Madison,Religious/Spiritual
Crossing The,Religious/Spiritual
Delight Ministries UW-Madison Chapter,Religious/Spiritual
Grace City International,Religious/Spiritual
Grace City Students,Religious/Spiritual
Greek Intervarsity,Religious/Spiritual
Harvest Fellowship,Religious/Spiritual
Hindu YUVA at UW-Madison,Religious/Spiritual
International Student Gathering,Religious/Spiritual
InterVarsity Christian Fellowship UW-Madison (Undergrad),Religious/Spiritual
Lutheran Campus Ministry at UW-Madison,Religious/Spiritual
Navigators at UW-Madison The,Religious/Spiritual
Pres House,Religious/Spiritual
Reformed University Fellowship at UW-Madison,Religious/Spiritual
Students for Salt,Religious/Spiritual
Young Life College (UW Madison),Religious/Spiritual
Alpha Phi Omega - Beta Theta,Service/Volunteer
American Red Cross Club of UW-Madison,Service/Volunteer
Badger Acts of Kindness,Service/Volunteer
Badgers for Special Olympics,Service/Volunteer
Be The Match on Campus,Service/Volunteer
Best Buddies UW-Madison Chapter,Service/Volunteer
Business Badgers and Beyond,Service/Volunteer
CALS Health and Research Society,Service/Volunteer
Camp Kesem UW-Madison Chapter,Service/Volunteer
Campus Cleanup,Service/Volunteer
Care for a Cause,Service/Volunteer
Challah For Hunger UW-Madison Chapter,Service/Volunteer
Collegiate 4-H UW-Madison,Service/Volunteer
Community & Nonprofit Leaders UW,Service/Volunteer
Community Health Volunteers of Madison,Service/Volunteer
Engineers Without Borders - UW-Madison,Service/Volunteer
Food Recovery Network - Madison Chapter,Service/Volunteer
Geriatric Interest Group,Service/Volunteer
Global Health Alliance at UW-Madison,Service/Volunteer
Habitat for Humanity Campus Chapter at University of Wisconsin- Madison,Service/Volunteer
International Volunteer HQ UW-Madison Chapter,Service/Volunteer
Letters Of Love UW-Madison,Service/Volunteer
Leukemia & Lymphoma Society - University of Wisconsin Madison,Service/Volunteer
Matriculate UW-Madison Cohort,Service/Volunteer
Miracle Network Dance Marathon UW-Madison Chapter,Service/Volunteer
Moment of Magic University of Wisconsin A,Service/Volunteer
National Society of Collegiate Scholars - UW-Madison Chapter,Service/Volunteer
Peace Corps Campus Advocates,Service/Volunteer
Pinky Swear PACK UW Madison,Service/Volunteer
Project Malawi,Service/Volunteer
Project Sunshine - UW Madison Chapter,Service/Volunteer
Relay for Life (UW-Madison),Service/Volunteer
Rotaract-UW,Service/Volunteer
Runway of Dreams UW-Madison,Service/Volunteer
See the Change,Service/Volunteer
Student Veterans of America-UW Madison,Service/Volunteer
Students for Social Welfare,Service/Volunteer
Supporting Peers in Laidback Listening,Service/Volunteer
Undergraduate Zoological Society,Service/Volunteer
Vietnam Health Project,Service/Volunteer
Wisconsin Alumni Student Board,Service/Volunteer
Wisconsin Homecoming Committee,Service/Volunteer
Wisconsin MEDLIFE,Service/Volunteer
Wisconsin Union Directorate,Service/Volunteer
Wishmakers on Campus - UW Madison,Service/Volunteer
WUD Alternative Breaks,Service/Volunteer
Alpha Delta Phi Wisconsin Chapter,Social Fraternity/Sorority
alpha Kappa Delta Phi International Sorority Inc. Associate Chapter,Social Fraternity/Sorority
Alpha Lambda Mu Colony at the University of Wisconsin - Madison,Social Fraternity/Sorority
Alpha Omega Epsilon Omicron Chapter,Social Fraternity/Sorority
Alpha Phi Alpha Fraternity Inc. Gamma Epsilon Chapter,Social Fraternity/Sorority
Delta Theta Sigma - Gamma Chapter,Social Fraternity/Sorority
Gamma Alpha Omega Sorority Inc. Chi Chapter,Social Fraternity/Sorority
Kappa Eta Kappa - Delta Chapter,Social Fraternity/Sorority
Lambda Phi Epsilon International Fraternity Inc. University of Wisconsin-Madison Associate Chapter,Social Fraternity/Sorority
Madison Delta Phi Lambda Sorority Inc.,Social Fraternity/Sorority
National Pan-Hellenic Council (UW-Madison),Social Fraternity/Sorority
Sigma Lambda Gamma Nat'l Sorority Inc. - Kappa Gamma Chapter,Social Fraternity/Sorority
Sigma Psi Zeta Sorority Inc.,Social Fraternity/Sorority
Tau Kappa Epsilon - Lambda Chapter,Social Fraternity/Sorority
Triangle Fraternity - Delta Chapter,Social Fraternity/Sorority
Zeta Tau Alpha- Lambda Upsilon Chapter,Social Fraternity/Sorority
Adventure Learning Programs,Sports/Recreation
Aikijujitsu Club,Sports/Recreation
AreaRED,Sports/Recreation
Badger Ballroom Dance Team,Sports/Recreation
Badger Cheese Club,Sports/Recreation
Badger Cricket Club,Sports/Recreation
Badger Hunting Club,Sports/Recreation
Badger Log Rolling,Sports/Recreation
Badger Powerlifting Team,Sports/Recreation
Badger Student Officials Association,Sports/Recreation
Badminton Club - University of Wisconsin,Sports/Recreation
Ballroom Association of UW - Madison,Sports/Recreation
Boxing Club - UW-Madison,Sports/Recreation
Choi Tae Kwon Do Club,Sports/Recreation
Cycling Club at the University of Wisconsin-Madison,Sports/Recreation
Dancas Dance Crew,Sports/Recreation
Disc Golf Badgers,Sports/Recreation
Fencing Club of the University of Wisconsin-Madison,Sports/Recreation
Figure Skating Club - University of Wisconsin,Sports/Recreation
Hoofer Nordic Ski Team,Sports/Recreation
Japanese Karate Club - UW Madison,Sports/Recreation
Kendo Club - UW-Madison,Sports/Recreation
Madison Esports Club,Sports/Recreation
Madison Motors Club,Sports/Recreation
Madison Poker Club,Sports/Recreation
Men's Club Basketball at the University of Wisconsin,Sports/Recreation
Men's Rugby Club University of Wisconsin,Sports/Recreation
Men's Ultimate Team - UW-Madison,Sports/Recreation
Optima Dance,Sports/Recreation
Quiz Bowl - UW-Madison,Sports/Recreation
Society for Creative Anachronism UW-Madison Chapter,Sports/Recreation
Sports Business Club,Sports/Recreation
Swim Club UW-Madison,Sports/Recreation
Table Tennis Club (UW Madison),Sports/Recreation
Taekwondo Club - UW Madison,Sports/Recreation
Tennis Club UW-Madison,Sports/Recreation
Wisconsin Alpine Ski and Snowboard Team,Sports/Recreation
Wisconsin Equestrian Team,Sports/Recreation
Wisconsin Gymnastics Club,Sports/Recreation
Wisconsin Track Club,Sports/Recreation
Wisconsin Triathlon Team,Sports/Recreation
Wisconsin Union Directorate Games Committee,Sports/Recreation
Wisconsin Water Ski and Wakeboard,Sports/Recreation
Wisconsin Womxn's Ultimate,Sports/Recreation
Women's Club Basketball- University of Wisconsin,Sports/Recreation
Women's Club Lacrosse,Sports/Recreation
Women's Club Water Polo (UW-Madison),Sports/Recreation
Women's Ice Hockey Club-University of Wisconsin,Sports/Recreation
Women's Rugby Football Club (UW-Madison),Sports/Recreation
Society of Professional Disc Jockeys,Sports/Recreation
Phi Sigma Pi National Honor Fraternity Zeta Rho Chapter,Social Fraternity/Sorority
Student Leadership Program,Social Fraternity/Sorority